row_id,noise_distribution,slope,m,k,all,partition,random_1,random_(10*km),random_1000
3224431d-3bec-4768-9da3-3efc8051ed5b,"uniform(-1,1)",1,20,100,0.013207387378567342,-0.0033687761605500077,6.203652110362001e-05,4.915054132324792e-06,-3.818705643676701e-05
d127a9a1-a3b4-4849-b2e3-99d5a9e530de,"uniform(-1,1)",5,3,5,0.2520036608425623,0.06358820747416469,0.4329950692199023,0.0012428815933631654,0.0012428815933628323
ddffb113-8923-41b7-9180-4375bc934162,"uniform(-1,1)",5,3,20,-0.07776835308763497,0.04277362186695832,-0.10478492906917519,-0.00044667035814272005,9.181921568490736e-05
55c0999a-936f-49dc-afe3-5dc6a9b694d5,"uniform(-1,1)",5,3,50,-0.025738791867208788,-0.0015069783832184491,-0.11309749437885994,4.098033312283089e-05,0.0001158942098877791
aa09c4b2-5d4f-417b-a6f5-64300bca163c,"uniform(-1,1)",5,3,100,-0.06246359319690731,-0.007269499684138037,-0.023359429549910438,1.014358946505034e-05,6.720337012766642e-06
20090dea-2c8f-42d8-a400-e6e980ab06e4,"uniform(-1,1)",5,10,5,0.09280391545592256,0.02621968640530603,0.49416428508865984,0.00024093322027285424,-0.001233253423034486
76fd376b-d906-4331-b3a8-0790d1fa4e76,"uniform(-1,1)",5,10,20,-2.0403400195156962e-05,-0.017204628203429495,-0.042998796396213804,1.9429324102482326e-05,-0.00017390249881543696
0847db30-2bd2-49fd-a16b-d461870612b9,"uniform(-1,1)",5,10,50,0.026404312670829558,0.00764260811348616,-0.011633100211128067,1.5943793981010312e-05,4.4846090284600404e-05
cf4b1dfc-50ea-4e1b-a11a-239c1e1565a9,"uniform(-1,1)",5,10,100,0.002195830079693442,0.00033168212660728,0.031229453577287875,9.013165402915746e-08,-0.00011261815867302793
50038bb3-3604-4bad-843a-63f56e8a6ce7,"uniform(-1,1)",5,20,5,-0.037474422374029176,-0.03523349057204683,-0.463218866514965,1.0035944650432782e-05,0.0008380976725099742
341c8266-34e5-41ff-8838-2916b9868b73,"uniform(-1,1)",5,20,20,0.021143786368488127,0.0005500531895873406,0.16185445332007742,1.0066498413174862e-05,-0.00040916190726725254
8f36af86-0bda-4e91-921a-e496d59ab4b0,"uniform(-1,1)",5,20,50,-0.01728511824349052,0.0016662055789840036,-0.04482835712971722,2.016183912267877e-06,-5.283954822443704e-05
6ceea214-29ca-497c-af3b-1eeface70740,"uniform(-1,1)",5,20,100,0.017186819352397048,0.000790294707361805,0.002656552958438904,2.7827722748341444e-07,-3.428376218309048e-05
7b79dec1-0f5f-458f-a928-7f271296b6db,"normal(0,.5^2)",0,3,5,-0.12045432823969981,-0.04219679243046942,-0.12732513246109545,0.0005772075030575224,0.0005772075030574392
3f75356a-b6c3-438c-a12a-98a196c0c631,"normal(0,.5^2)",0,3,20,-0.014650751017103598,-0.00804984773088957,-0.01663223456473025,-6.766511282421152e-05,-0.00013762439175676877
90b10b1b-4ab7-4f82-b217-9a8e5e8e33db,"normal(0,.5^2)",0,3,50,-0.02852802270870597,-0.012862031027086662,0.020649100131809987,-0.00010571638445939165,-8.095919931567011e-05
48394bd7-2360-4d4a-b6a0-6b264704af10,"normal(0,.5^2)",0,3,100,0.05694644210304361,-0.000876281974457908,0.06437505362104731,9.996286764676204e-06,4.630243040717151e-05
0f9b4995-02ae-425b-aa1b-f0f31565b7f0,"normal(0,.5^2)",0,10,5,0.05919917468104421,-0.0286464582244326,-0.42563104493263654,0.00012575267222712794,0.00026039375750437806
d860b66a-d4c2-4473-814f-65049ba2c355,"normal(0,.5^2)",0,10,20,-0.05232756394618668,0.007568431815109987,0.08749772587054346,5.509526727081465e-05,-0.000146700900271508
a7dfaca6-88ee-49a5-a6f8-21724f188a34,"normal(0,.5^2)",0,10,50,0.0487894026569585,-0.01076279440273677,-0.0062318911627712165,1.5285340798061944e-06,8.28440892965878e-05
efa9aeee-ddc0-4662-b5f2-837df3a5a20d,"normal(0,.5^2)",0,10,100,-0.0076978830601851555,-0.0007767882647676909,0.017479507665952167,2.4825138135982708e-06,-5.2617728709049294e-05
46eeb231-1c59-475c-8335-69e2760115da,"normal(0,.5^2)",0,20,5,0.03873068019721007,0.013344077630918695,-0.39466913267900244,-2.831292071494001e-05,-0.00029270853352203474
9184cf20-2354-4a8f-9073-db20ff6990a6,"normal(0,.5^2)",0,20,20,0.01151118583886381,-0.020661139901051836,0.19511145979350925,-2.5314686241402484e-05,0.0003063056203416662
16cca5d1-5b68-47cb-bc5e-726d63516a05,"normal(0,.5^2)",0,20,50,0.013843268669613308,0.0017693161438771723,0.09310524651315438,2.2611514329841376e-06,-7.950017041399656e-05
3e808549-dee1-4d03-9619-b6a04b5800d4,"normal(0,.5^2)",0,20,100,-0.021281432047152663,0.00231614590239608,-0.10654561850217975,-3.698352703663914e-06,9.084599757176693e-05
